product_ID,product_type,product_name,psize,colour,invoice_no,customer_id,gender,age,quantity,price,payment_method,invoice_date,shopping_mall,clickstream_data,,Label
203.130.53.126-10.42.0.211-80-52261-6,Shirt,Oxford Cloth,XL,green,I992454,C196845,Male,24,4,143.36,Cash,07-03-23,Cevahir AVM,"A green coloured, XL sized, Oxford Cloth Shirt",,1
10.42.0.1-10.42.0.42-53-19669-17,Shirt,Oxford Cloth,XS,blue,I183746,C220180,Male,23,1,300.08,Credit Card,15-02-23,Emaar Square Mall,"A blue coloured, XS sized, Oxford Cloth Shirt",,0
10.42.0.151-115.239.210.141-53922-80-6,Shirt,Oxford Cloth,S,blue,I412481,C125696,Female,27,1,5.23,Cash,01-05-21,Cevahir AVM,"A blue coloured, S sized, Oxford Cloth Shirt",,0
10.42.0.211-104.192.110.245-37965-80-6,Shirt,Oxford Cloth,M,blue,I823067,C322947,Male,52,2,600.16,Credit Card,18-06-22,Cevahir AVM,"A blue coloured, M sized, Oxford Cloth Shirt",,0
10.42.0.211-10.42.0.1-59776-53-17,Shirt,Oxford Cloth,L,blue,I252275,C313348,Male,44,5,5250,Cash,26-10-21,Kanyon,"A blue coloured, L sized, Oxford Cloth Shirt",,1
10.42.0.211-10.42.0.1-51238-53-17,Shirt,Oxford Cloth,XL,blue,I174250,C204553,Female,42,5,75.75,Cash,16-12-22,Metrocity,"A blue coloured, XL sized, Oxford Cloth Shirt",,0
10.42.0.42-104.97.95.172-57315-80-6,Shirt,Oxford Cloth,XS,indigo,I195396,C285161,Male,51,2,71.68,Debit Card,16-05-21,Istinye Park,"A indigo coloured, XS sized, Oxford Cloth Shirt",,0
205.185.216.10-10.42.0.42-80-52837-6,Shirt,Oxford Cloth,S,indigo,I196704,C289625,Female,25,5,203.3,Credit Card,20-04-22,Mall of Istanbul,"A indigo coloured, S sized, Oxford Cloth Shirt",,0
10.42.0.211-108.174.10.10-50511-443-6,Shirt,Oxford Cloth,M,indigo,I217053,C192344,Male,50,4,2400.68,Cash,10-10-22,Emaar Square Mall,"A indigo coloured, M sized, Oxford Cloth Shirt",,0
182.254.5.234-10.42.0.211-80-43031-6,Shirt,Oxford Cloth,L,indigo,I655874,C447138,Female,65,3,1800.51,Cash,23-08-22,Cevahir AVM,"A indigo coloured, L sized, Oxford Cloth Shirt",,0
10.42.0.42-106.39.169.66-57125-80-6,Shirt,Oxford Cloth,XL,indigo,I209744,C251229,Male,29,3,121.98,Credit Card,29-04-21,Istinye Park,"A indigo coloured, XL sized, Oxford Cloth Shirt",,0
10.42.0.151-54.239.17.113-49089-443-6,Shirt,Oxford Cloth,XS,violet,I161949,C159164,Female,66,3,107.52,Debit Card,04-07-22,Mall of Istanbul,"A violet coloured, XS sized, Oxford Cloth Shirt",,1
172.217.9.238-10.42.0.151-443-48040-6,Shirt,Oxford Cloth,S,violet,I331891,C501658,Male,23,1,300.08,Credit Card,21-11-21,Emaar Square Mall,"A violet coloured, S sized, Oxford Cloth Shirt",,0
10.42.0.42-119.146.74.33-40622-443-6,Shirt,Oxford Cloth,M,violet,I768348,C176727,Female,32,3,1800.51,Credit Card,23-02-22,Kanyon,"A violet coloured, M sized, Oxford Cloth Shirt",,1
10.42.0.211-10.42.0.1-1863-53-17,Shirt,Oxford Cloth,L,violet,I109053,C232624,Male,51,4,1200.32,Debit Card,11-07-21,Metrocity,"A violet coloured, L sized, Oxford Cloth Shirt",,1
10.42.0.151-10.42.0.1-31323-53-17,Shirt,Oxford Cloth,XL,violet,I167211,C164092,Female,66,4,2400.68,Credit Card,30-08-22,Zorlu Center,"A violet coloured, XL sized, Oxford Cloth Shirt",,0
10.42.0.151-10.42.0.1-60240-53-17,Shirt,Dress,XS,red,I339732,C276887,Male,68,1,5.23,Credit Card,04-01-23,Emaar Square Mall,"A red coloured, XS sized, Dress Shirt",,0
10.42.0.211-10.42.0.1-26886-53-17,Shirt,Dress,S,red,I147062,C245456,Male,43,5,1500.4,Credit Card,21-06-22,Kanyon,"A red coloured, S sized, Dress Shirt",,1
10.42.0.211-10.42.0.1-8443-53-17,Shirt,Dress,M,red,I187519,C450287,Female,59,2,600.16,Credit Card,08-07-22,Metrocity,"A red coloured, M sized, Dress Shirt",,0
172.217.10.142-10.42.0.42-443-51231-6,Shirt,Dress,L,red,I106674,C204279,Male,54,2,600.16,Cash,27-02-22,Kanyon,"A red coloured, L sized, Dress Shirt",,0
172.217.10.238-10.42.0.42-443-33164-6,Shirt,Dress,XL,red,I473411,C452806,Male,24,1,300.08,Cash,19-12-22,Metropol AVM,"A red coloured, XL sized, Dress Shirt",,0
172.217.9.234-10.42.0.211-443-49920-6,Shirt,Dress,XS,orange,I246550,C716788,Female,49,3,15.69,Cash,10-09-21,Zorlu Center,"A orange coloured, XS sized, Dress Shirt",,0
10.42.0.211-121.12.98.63-47436-80-6,Shirt,Dress,S,orange,I138674,C155059,Male,67,2,81.32,Credit Card,14-02-22,Metropol AVM,"A orange coloured, S sized, Dress Shirt",,1
183.79.17.108-10.42.0.151-443-60432-6,Shirt,Dress,M,orange,I752693,C306662,Female,48,3,121.98,Cash,28-04-22,Metrocity,"A orange coloured, M sized, Dress Shirt",,0
10.42.0.211-119.146.74.31-42055-443-6,Shirt,Dress,L,orange,I826174,C607615,Female,40,4,2400.68,Cash,20-06-22,Metrocity,"A orange coloured, L sized, Dress Shirt",,0
10.42.0.151-10.42.0.1-10790-53-17,Shirt,Dress,XL,orange,I296025,C120164,Female,41,3,1800.51,Credit Card,21-04-22,Kanyon,"A orange coloured, XL sized, Dress Shirt",,1
157.240.2.35-10.42.0.151-443-36936-6,Shirt,Dress,XS,yellow,I117291,C134449,Male,46,5,75.75,Credit Card,09-12-22,Zorlu Center,"A yellow coloured, XS sized, Dress Shirt",,0
172.217.11.37-10.42.0.151-443-52587-6,Shirt,Dress,S,yellow,I267193,C317818,Female,19,3,121.98,Credit Card,12-01-23,Mall of Istanbul,"A yellow coloured, S sized, Dress Shirt",,0
10.42.0.151-14.17.42.57-55488-80-6,Shirt,Dress,M,yellow,I205366,C241642,Female,43,4,1200.32,Debit Card,07-11-22,Zorlu Center,"A yellow coloured, M sized, Dress Shirt",,0
10.42.0.151-10.42.0.1-47224-53-17,Shirt,Dress,L,yellow,I269690,C126436,Male,18,3,121.98,Debit Card,07-02-22,Zorlu Center,"A yellow coloured, L sized, Dress Shirt",,0
172.217.10.142-10.42.0.151-443-56854-6,Shirt,Dress,XL,yellow,I304265,C653385,Female,22,5,75.75,Debit Card,13-06-21,Forum Istanbul,"A yellow coloured, XL sized, Dress Shirt",,1
172.217.6.206-10.42.0.151-443-56670-6,Shirt,Dress,XS,green,I246562,C227070,Female,61,5,203.3,Cash,23-08-21,Emaar Square Mall,"A green coloured, XS sized, Dress Shirt",,1
10.42.0.42-115.239.210.141-38203-443-6,Shirt,Dress,S,green,I202367,C317478,Female,41,3,45.45,Cash,24-02-23,Istinye Park,"A green coloured, S sized, Dress Shirt",,1
172.217.10.45-10.42.0.151-443-47718-6,Shirt,Dress,M,green,I664787,C237330,Female,53,2,81.32,Credit Card,12-01-23,Istinye Park,"A green coloured, M sized, Dress Shirt",,0
172.217.11.3-10.42.0.151-443-50931-6,Shirt,Dress,L,green,I160777,C626042,Female,43,4,4200,Cash,22-02-22,Metrocity,"A green coloured, L sized, Dress Shirt",,0
173.241.242.143-10.42.0.151-443-39504-6,Shirt,Dress,XL,green,I137794,C133687,Female,45,3,15.69,Debit Card,12-03-21,Viaport Outlet,"A green coloured, XL sized, Dress Shirt",,0
10.42.0.211-10.42.0.1-28885-53-17,Shirt,Dress,XS,blue,I148377,C841663,Female,29,1,300.08,Cash,02-01-22,Istinye Park,"A blue coloured, XS sized, Dress Shirt",,0
172.217.10.78-10.42.0.151-443-34931-6,Shirt,Dress,S,blue,I258195,C213742,Male,43,2,71.68,Cash,26-11-21,Kanyon,"A blue coloured, S sized, Dress Shirt",,1
192.229.173.173-10.42.0.211-80-55312-6,Shirt,Dress,M,blue,I300213,C962515,Female,19,4,1200.32,Credit Card,21-04-21,Kanyon,"A blue coloured, M sized, Dress Shirt",,1
180.149.153.234-10.42.0.211-80-53928-6,Shirt,Dress,L,blue,I263803,C112279,Female,67,3,15.69,Cash,23-06-21,Kanyon,"A blue coloured, L sized, Dress Shirt",,0
10.42.0.211-23.206.173.182-47900-80-6,Shirt,Dress,XL,blue,I335713,C158837,Female,36,4,60.6,Cash,14-12-21,Kanyon,"A blue coloured, XL sized, Dress Shirt",,1
172.217.10.234-10.42.0.42-443-53320-6,Shirt,Dress,XS,indigo,I133061,C336576,Male,64,5,1500.4,Credit Card,09-06-22,Mall of Istanbul,"A indigo coloured, XS sized, Dress Shirt",,0
172.217.6.234-10.42.0.211-443-42890-6,Shirt,Dress,S,indigo,I207205,C716161,Female,33,1,300.08,Debit Card,26-11-21,Kanyon,"A indigo coloured, S sized, Dress Shirt",,0
172.217.12.142-10.42.0.151-443-43981-6,Shirt,Dress,M,indigo,I209289,C439382,Female,33,4,1200.32,Credit Card,05-02-21,Kanyon,"A indigo coloured, M sized, Dress Shirt",,0
10.42.0.151-54.230.38.124-47520-80-6,Shirt,Dress,L,indigo,I157285,C123427,Male,66,4,1200.32,Cash,06-03-22,Mall of Istanbul,"A indigo coloured, L sized, Dress Shirt",,1
192.229.163.180-10.42.0.151-443-58369-6,Shirt,Dress,XL,indigo,I218590,C224743,Female,29,4,162.64,Debit Card,09-05-22,Metropol AVM,"A indigo coloured, XL sized, Dress Shirt",,0
10.42.0.1-10.42.0.42-53-28084-17,Shirt,Dress,XS,violet,I181109,C119549,Male,22,3,107.52,Cash,17-10-22,Mall of Istanbul,"A violet coloured, XS sized, Dress Shirt",,0
10.42.0.151-31.13.80.52-38557-80-6,Shirt,Dress,S,violet,I221715,C187266,Female,63,3,15.69,Cash,22-01-22,Cevahir AVM,"A violet coloured, S sized, Dress Shirt",,0
172.217.12.174-10.42.0.151-443-56919-6,Shirt,Dress,M,violet,I204979,C173084,Female,24,5,58.65,Debit Card,14-03-21,Istinye Park,"A violet coloured, M sized, Dress Shirt",,0
10.42.0.211-104.192.110.245-55562-443-6,Shirt,Dress,L,violet,I115146,C126956,Female,24,5,203.3,Cash,27-04-22,Metrocity,"A violet coloured, L sized, Dress Shirt",,1
10.42.0.211-10.42.0.1-23122-53-17,Shirt,Dress,XL,violet,I883721,C236859,Female,44,5,5250,Credit Card,19-11-21,Mall of Istanbul,"A violet coloured, XL sized, Dress Shirt",,0
10.42.0.211-64.71.142.110-46737-80-6,Shirt,Flannel,XS,red,I402376,C309926,Male,34,5,3000.85,Cash,10-09-22,Forum Istanbul,"A red coloured, XS sized, Flannel Shirt",,1
192.229.173.173-10.42.0.42-80-38028-6,Shirt,Flannel,S,red,I251356,C493252,Female,47,4,162.64,Cash,04-09-21,Kanyon,"A red coloured, S sized, Flannel Shirt",,0
10.42.0.1-10.42.0.42-53-7601-17,Shirt,Flannel,M,red,I292239,C109871,Male,38,5,26.15,Cash,21-08-22,Mall of Istanbul,"A red coloured, M sized, Flannel Shirt",,1
180.149.153.68-10.42.0.211-80-57817-6,Shirt,Flannel,L,red,I276526,C136117,Female,57,5,3000.85,Debit Card,02-10-21,Emaar Square Mall,"A red coloured, L sized, Flannel Shirt",,0
140.205.250.8-10.42.0.151-443-41073-6,Shirt,Flannel,XL,red,I260525,C258404,Male,67,3,107.52,Cash,07-01-23,Emaar Square Mall,"A red coloured, XL sized, Flannel Shirt",,1
10.42.0.42-46.150.167.172-46360-20408-17,Shirt,Flannel,XS,orange,I870944,C169749,Male,41,3,35.19,Credit Card,08-06-21,Cevahir AVM,"A orange coloured, XS sized, Flannel Shirt",,0
10.42.0.211-64.71.142.110-44366-443-6,Shirt,Flannel,S,orange,I739573,C199947,Female,40,5,1500.4,Debit Card,17-04-21,Kanyon,"A orange coloured, S sized, Flannel Shirt",,1
10.42.0.151-10.42.0.1-43876-53-17,Shirt,Flannel,M,orange,I115870,C135790,Female,69,4,2400.68,Cash,04-09-21,Metrocity,"A orange coloured, M sized, Flannel Shirt",,0
10.42.0.211-52.94.232.33-44346-443-6,Shirt,Flannel,L,orange,I190444,C606418,Female,47,5,26.15,Cash,20-07-22,Mall of Istanbul,"A orange coloured, L sized, Flannel Shirt",,0
10.42.0.211-23.217.155.120-35929-80-6,Shirt,Flannel,XL,orange,I309552,C111611,Female,53,4,20.92,Credit Card,14-07-21,Istinye Park,"A orange coloured, XL sized, Flannel Shirt",,1
180.149.136.194-10.42.0.211-443-49674-6,Shirt,Flannel,XS,yellow,I306076,C679476,Male,40,2,71.68,Cash,01-11-22,Emaar Square Mall,"A yellow coloured, XS sized, Flannel Shirt",,0
201.92.16.176-10.42.0.151-33827-43477-17,Shirt,Flannel,S,yellow,I321683,C542025,Male,60,4,162.64,Credit Card,06-01-23,Metrocity,"A yellow coloured, S sized, Flannel Shirt",,0
172.217.11.14-10.42.0.151-443-58035-6,Shirt,Flannel,M,yellow,I151332,C168491,Male,30,2,23.46,Cash,25-03-21,Kanyon,"A yellow coloured, M sized, Flannel Shirt",,1
172.217.3.110-10.42.0.42-443-39972-6,Shirt,Flannel,L,yellow,I340014,C169650,Female,66,2,600.16,Credit Card,08-09-22,Istinye Park,"A yellow coloured, L sized, Flannel Shirt",,0
203.130.53.126-10.42.0.211-80-36855-6,Shirt,Flannel,XL,yellow,I249424,C158160,Male,22,1,5.23,Cash,18-02-22,Mall of Istanbul,"A yellow coloured, XL sized, Flannel Shirt",,1
169.47.42.215-10.42.0.211-443-41852-6,Shirt,Flannel,XS,green,I227716,C552345,Male,53,2,10.46,Cash,22-04-21,Kanyon,"A green coloured, XS sized, Flannel Shirt",,1
172.217.11.46-10.42.0.211-443-36943-6,Shirt,Flannel,S,green,I140663,C218383,Female,52,5,1500.4,Cash,15-10-22,Zorlu Center,"A green coloured, S sized, Flannel Shirt",,1
222.73.28.96-10.42.0.211-80-36855-6,Shirt,Flannel,M,green,I253242,C309438,Male,26,5,3000.85,Cash,07-04-22,Mall of Istanbul,"A green coloured, M sized, Flannel Shirt",,0
10.42.0.211-77.234.42.92-39042-443-6,Shirt,Flannel,L,green,I108359,C253905,Male,66,1,5.23,Cash,07-06-22,Mall of Istanbul,"A green coloured, L sized, Flannel Shirt",,1
10.42.0.211-121.12.98.78-41539-80-6,Shirt,Flannel,XL,green,I195567,C992677,Male,65,4,1200.32,Debit Card,22-01-23,Metropol AVM,"A green coloured, XL sized, Flannel Shirt",,0
172.217.10.129-10.42.0.151-443-38167-17,Shirt,Flannel,XS,blue,I289643,C584700,Female,43,2,2100,Cash,22-08-22,Kanyon,"A blue coloured, XS sized, Flannel Shirt",,0
152.163.56.2-10.42.0.211-443-59912-6,Shirt,Flannel,S,blue,I722319,C157070,Female,59,1,35.84,Debit Card,03-10-21,Kanyon,"A blue coloured, S sized, Flannel Shirt",,0
10.42.0.1-10.42.0.42-53-3226-17,Shirt,Flannel,M,blue,I317105,C177975,Female,30,5,58.65,Debit Card,29-07-21,Kanyon,"A blue coloured, M sized, Flannel Shirt",,0
10.42.0.151-123.125.115.190-41314-80-6,Shirt,Flannel,L,blue,I215721,C830576,Female,25,2,81.32,Debit Card,16-12-22,Metrocity,"A blue coloured, L sized, Flannel Shirt",,1
10.42.0.1-10.42.0.42-53-10096-17,Shirt,Flannel,XL,blue,I154469,C807389,Female,29,3,107.52,Debit Card,03-06-21,Mall of Istanbul,"A blue coloured, XL sized, Flannel Shirt",,0
202.77.129.161-10.42.0.42-80-44532-6,Shirt,Flannel,XS,indigo,I172458,C277842,Female,19,2,600.16,Debit Card,17-12-21,Cevahir AVM,"A indigo coloured, XS sized, Flannel Shirt",,1
10.42.0.42-14.29.93.243-56301-80-6,Shirt,Flannel,S,indigo,I297270,C183011,Male,62,5,1500.4,Credit Card,31-12-22,Metropol AVM,"A indigo coloured, S sized, Flannel Shirt",,0
172.217.6.238-10.42.0.211-443-44606-6,Shirt,Flannel,M,indigo,I153930,C567813,Male,39,3,15.69,Cash,09-08-22,Forum Istanbul,"A indigo coloured, M sized, Flannel Shirt",,0
10.42.0.42-64.71.142.120-52446-80-6,Shirt,Flannel,L,indigo,I282854,C282974,Female,33,3,900.24,Cash,31-07-22,Kanyon,"A indigo coloured, L sized, Flannel Shirt",,0
10.42.0.211-10.42.0.1-7592-53-17,Shirt,Flannel,XL,indigo,I869144,C181972,Female,26,4,20.92,Debit Card,04-05-21,Mall of Istanbul,"A indigo coloured, XL sized, Flannel Shirt",,0
172.217.10.142-10.42.0.42-443-35835-6,Shirt,Flannel,XS,violet,I283443,C189493,Male,43,3,3150,Credit Card,25-05-22,Viaport Outlet,"A violet coloured, XS sized, Flannel Shirt",,1
10.42.0.211-64.71.142.124-41915-443-6,Shirt,Flannel,S,violet,I193271,C242748,Female,40,3,15.69,Debit Card,23-12-22,Kanyon,"A violet coloured, S sized, Flannel Shirt",,0
172.217.6.228-10.42.0.211-443-49133-6,Shirt,Flannel,M,violet,I985478,C324683,Male,55,4,1200.32,Credit Card,24-01-23,Kanyon,"A violet coloured, M sized, Flannel Shirt",,1
180.149.136.194-10.42.0.211-443-35866-6,Shirt,Flannel,L,violet,I200392,C307921,Female,24,5,1500.4,Credit Card,14-09-21,Viaport Outlet,"A violet coloured, L sized, Flannel Shirt",,1
10.42.0.211-123.125.29.138-35716-80-6,Shirt,Flannel,XL,violet,I256691,C152549,Male,24,1,40.66,Cash,04-02-22,Metrocity,"A violet coloured, XL sized, Flannel Shirt",,1
10.42.0.211-104.88.89.135-34966-443-6,Shirt,Denim,XS,red,I796162,C111832,Female,30,5,26.15,Credit Card,06-01-22,Metrocity,"A red coloured, XS sized, Denim Shirt",,0
172.217.9.238-10.42.0.211-443-32870-6,Shirt,Denim,S,red,I224371,C204174,Male,34,5,1500.4,Credit Card,01-02-22,Mall of Istanbul,"A red coloured, S sized, Denim Shirt",,0
10.42.0.211-31.13.80.52-37917-443-6,Shirt,Denim,M,red,I215998,C279370,Female,64,5,1500.4,Cash,26-10-22,Cevahir AVM,"A red coloured, M sized, Denim Shirt",,0
172.217.10.234-10.42.0.151-443-37957-6,Shirt,Denim,L,red,I338966,C907582,Female,57,5,1500.4,Cash,21-09-22,Mall of Istanbul,"A red coloured, L sized, Denim Shirt",,0
175.100.207.231-10.42.0.42-443-54986-6,Shirt,Denim,XL,red,I293215,C166635,Male,18,4,162.64,Credit Card,12-12-21,Istinye Park,"A red coloured, XL sized, Denim Shirt",,0
209.10.120.26-10.42.0.211-80-56918-6,Shirt,Denim,XS,orange,I149688,C276043,Female,26,4,1200.32,Cash,21-08-21,Zorlu Center,"A orange coloured, XS sized, Denim Shirt",,0
216.58.219.202-10.42.0.151-443-56272-6,Shirt,Denim,S,orange,I109649,C282643,Female,19,3,15.69,Debit Card,08-10-21,Emaar Square Mall,"A orange coloured, S sized, Denim Shirt",,1
10.42.0.151-95.213.11.133-44545-80-6,Shirt,Denim,M,orange,I299820,C820515,Female,22,3,45.45,Cash,22-11-21,Kanyon,"A orange coloured, M sized, Denim Shirt",,0
172.217.6.238-10.42.0.211-443-45270-6,Shirt,Denim,L,orange,I157775,C331761,Male,48,1,300.08,Cash,19-03-22,Kanyon,"A orange coloured, L sized, Denim Shirt",,0
172.217.10.42-10.42.0.42-443-39789-6,Shirt,Denim,XL,orange,I317140,C326893,Female,56,5,58.65,Cash,19-10-22,Istinye Park,"A orange coloured, XL sized, Denim Shirt",,0
180.76.151.150-10.42.0.42-80-53951-6,Shirt,Denim,XS,yellow,I147334,C306395,Male,35,2,600.16,Cash,12-01-22,Viaport Outlet,"A yellow coloured, XS sized, Denim Shirt",,1
172.217.6.196-10.42.0.42-443-35076-6,Shirt,Denim,S,yellow,I278121,C885344,Female,60,4,143.36,Debit Card,07-06-21,Metrocity,"A yellow coloured, S sized, Denim Shirt",,1
183.79.250.123-10.42.0.211-443-35990-6,Shirt,Denim,M,yellow,I134452,C112750,Female,32,1,300.08,Credit Card,15-01-23,Forum Istanbul,"A yellow coloured, M sized, Denim Shirt",,1
205.185.216.42-10.42.0.151-80-57376-6,Shirt,Denim,L,yellow,I320846,C274870,Male,27,4,1200.32,Credit Card,11-11-21,Kanyon,"A yellow coloured, L sized, Denim Shirt",,0
10.42.0.211-10.42.0.1-31194-53-17,Shirt,Denim,XL,yellow,I740676,C199864,Female,56,2,600.16,Credit Card,21-09-22,Istinye Park,"A yellow coloured, XL sized, Denim Shirt",,1
10.42.0.211-10.42.0.1-20641-53-17,Shirt,Denim,XS,green,I142331,C997380,Male,35,4,162.64,Debit Card,30-05-21,Metrocity,"A green coloured, XS sized, Denim Shirt",,1
10.42.0.42-121.12.98.63-52336-80-6,Shirt,Denim,S,green,I222983,C132002,Female,68,1,300.08,Credit Card,23-12-21,Metropol AVM,"A green coloured, S sized, Denim Shirt",,0
10.42.0.211-66.198.178.50-39227-80-6,Shirt,Denim,M,green,I164665,C255058,Female,64,2,2100,Cash,30-04-22,Kanyon,"A green coloured, M sized, Denim Shirt",,0
172.217.12.170-10.42.0.151-443-59730-6,Shirt,Denim,L,green,I133387,C271799,Female,60,4,143.36,Cash,07-06-21,Forum Istanbul,"A green coloured, L sized, Denim Shirt",,1
192.229.173.173-10.42.0.211-80-55300-6,Shirt,Denim,XL,green,I276763,C765620,Male,64,5,179.2,Debit Card,21-02-22,Kanyon,"A green coloured, XL sized, Denim Shirt",,0
10.42.0.211-10.42.0.1-20372-53-17,Shirt,Denim,XS,blue,I273890,C891545,Female,41,3,900.24,Debit Card,26-08-21,Emaar Square Mall,"A blue coloured, XS sized, Denim Shirt",,0
202.77.129.150-10.42.0.42-80-39289-6,Shirt,Denim,S,blue,I774221,C519513,Male,30,5,26.15,Cash,15-12-21,Metrocity,"A blue coloured, S sized, Denim Shirt",,0
10.42.0.151-72.21.206.140-33156-443-6,Shirt,Denim,M,blue,I202171,C125624,Male,40,1,300.08,Debit Card,20-02-21,Mall of Istanbul,"A blue coloured, M sized, Denim Shirt",,0
173.194.68.188-10.42.0.151-5228-36766-6,Shirt,Denim,L,blue,I219780,C658980,Female,29,2,600.16,Cash,08-10-21,Kanyon,"A blue coloured, L sized, Denim Shirt",,0
202.77.129.161-10.42.0.211-80-52114-6,Shirt,Denim,XL,blue,I160221,C319231,Male,25,3,900.24,Cash,01-08-22,Mall of Istanbul,"A blue coloured, XL sized, Denim Shirt",,0
174.35.73.93-10.42.0.211-80-33894-6,Shirt,Denim,XS,indigo,I106691,C150594,Female,60,4,1200.32,Cash,09-09-21,Kanyon,"A indigo coloured, XS sized, Denim Shirt",,0
10.42.0.211-47.93.77.90-38810-443-6,Shirt,Denim,S,indigo,I129886,C846730,Female,42,5,26.15,Cash,25-10-21,Metrocity,"A indigo coloured, S sized, Denim Shirt",,1
172.217.12.161-10.42.0.211-443-50922-6,Shirt,Denim,M,indigo,I745394,C249877,Male,54,1,5.23,Cash,14-12-21,Metropol AVM,"A indigo coloured, M sized, Denim Shirt",,1
10.42.0.211-104.192.108.27-53802-80-6,Shirt,Denim,L,indigo,I157056,C200826,Female,50,5,1500.4,Cash,20-06-21,Kanyon,"A indigo coloured, L sized, Denim Shirt",,1
10.42.0.42-104.193.88.109-41640-80-6,Shirt,Denim,XL,indigo,I304531,C263874,Male,54,1,300.08,Debit Card,07-04-21,Metropol AVM,"A indigo coloured, XL sized, Denim Shirt",,0
